sample,file1,file2,size
SRS881236,SRR1943117_1.fastq,SRR1943117_2.fastq,1256296272
SRS881237,SRR1926039_1.fastq,SRR1926039_2.fastq,1040429220
SRS881238,SRR1926046_1.fastq,SRR1926046_2.fastq,1753785444
SRS881239,SRR1942978_1.fastq,SRR1942978_2.fastq,1040795820
SRS881240,SRR1931726_1.fastq,SRR1931726_2.fastq,1297763244
SRS881241,SRR1944787_1.fastq,SRR1944787_2.fastq,1534150308
SRS881242,SRR1943016_1.fastq,SRR1943016_2.fastq,1598811780
SRS881243,SRR1944710_1.fastq,SRR1944710_2.fastq,1143629376
SRS881244,SRR1942927_1.fastq,SRR1942927_2.fastq,1585619256
SRS881245,SRR1943220_1.fastq,SRR1943220_2.fastq,10884558232
SRS881246,SRR1943113_1.fastq,SRR1943113_2.fastq,1153122624
SRS881247,SRR1926052_1.fastq,SRR1926052_2.fastq,9471822336
SRS885167,SRR1944688_1.fastq,SRR1944688_2.fastq,1286268924
SRS885168,SRR1944805_1.fastq,SRR1944805_2.fastq,1522639068
SRS885169,SRR1931723_1.fastq,SRR1931723_2.fastq,1339454688
SRS885170,SRR1944684_1.fastq,SRR1944684_2.fastq,1337019336
SRS885171,SRR1944807_1.fastq,SRR1944807_2.fastq,1358389296
SRS885172,SRR1944863_1.fastq,SRR1944863_2.fastq,1187493348
SRS885173,SRR1944823_1.fastq,SRR1944823_2.fastq,988626384
SRS885174,SRR1944737_1.fastq,SRR1944737_2.fastq,1157753064
SRS885176,SRR1944713_1.fastq,SRR1944713_2.fastq,1416742992
SRS885177,SRR1944741_1.fastq,SRR1944741_2.fastq,1316509476
SRS885186,SRR1931718_1.fastq,SRR1931718_2.fastq,1323225024
SRS885188,SRR1944685_1.fastq,SRR1944685_2.fastq,1318041300
SRS885191,SRR1931716_1.fastq,SRR1931716_2.fastq,1565364888
SRS885192,SRR1944699_1.fastq,SRR1944699_2.fastq,1354809588
SRS885816,SRR1942884_1.fastq,SRR1942884_2.fastq,1354692840
SRS885833,SRR1942887_1.fastq,SRR1942887_2.fastq,1332568812
SRS885841,SRR1942901_1.fastq,SRR1942901_2.fastq,1515499956
SRS885842,SRR1944801_1.fastq,SRR1944801_2.fastq,1456008108
SRS885843,SRR1942994_1.fastq,SRR1942994_2.fastq,1124610168
SRS885847,SRR1944862_1.fastq,SRR1944862_2.fastq,1257715296
SRS885850,SRR1944859_1.fastq,SRR1944859_2.fastq,1381449564
SRS885851,SRR1942916_1.fastq,SRR1942916_2.fastq,1309467936
SRS885852,SRR1942917_1.fastq,SRR1942917_2.fastq,1331810796
SRS885853,SRR1942918_1.fastq,SRR1942918_2.fastq,1114431660
SRS885854,SRR1942923_1.fastq,SRR1942923_2.fastq,1359293388
SRS885855,SRR1942926_1.fastq,SRR1942926_2.fastq,1503584328
SRS885857,SRR1944767_1.fastq,SRR1944767_2.fastq,1500044664
SRS885858,SRR1944860_1.fastq,SRR1944860_2.fastq,1497893004
SRS885863,SRR1944824_1.fastq,SRR1944824_2.fastq,1151877876
SRS885865,SRR1944870_1.fastq,SRR1944870_2.fastq,1686477120
SRS885871,SRR1942965_1.fastq,SRR1942965_2.fastq,1163112756
SRS885874,SRR1942992_1.fastq,SRR1942992_2.fastq,1423545396
SRS885875,SRR1944849_1.fastq,SRR1944849_2.fastq,1505190600
SRS885877,SRR1944728_1.fastq,SRR1944728_2.fastq,1482869172
SRS885878,SRR1942972_1.fastq,SRR1942972_2.fastq,1465739928
SRS885879,SRR1944855_1.fastq,SRR1944855_2.fastq,1367439240
SRS885880,SRR1944844_1.fastq,SRR1944844_2.fastq,1199509932
SRS885882,SRR1942975_1.fastq,SRR1942975_2.fastq,1366848732
SRS885884,SRR1944842_1.fastq,SRR1944842_2.fastq,1376832096
SRS885887,SRR1942998_1.fastq,SRR1942998_2.fastq,1523684724
SRS885888,SRR1943004_1.fastq,SRR1943004_2.fastq,1242441612
SRS885889,SRR1947209_1.fastq,SRR1947209_2.fastq,1362782292
SRS885892,SRR1947257_1.fastq,SRR1947257_2.fastq,1760827548
SRS885893,SRR1943021_1.fastq,SRR1943021_2.fastq,1183467516
SRS885894,SRR1947216_1.fastq,SRR1947216_2.fastq,1454988396
SRS885915,SRR1947210_1.fastq,SRR1947210_2.fastq,1446257676
SRS885916,SRR1947259_1.fastq,SRR1947259_2.fastq,1327851516
