Gene,Essential,Essentiality Standard Deviation,Essentiality P-value,Essentiality Classification,Mean(Log10(Fluconazole/DMSO frequency)) in Gene Body,P value of Mean Fold Change in Gene Body Compared to Intergenic Inserts,Mean(Log10(Fluconazole/DMSO frequency)) in 5' 300 bases,P value of Mean Fold Change in 5' 300 bases Compared to Intergenic Inserts,Insert sites in Gene Body,Insert sites in 300 bases to 5' of ATG,In Madhani Deletion Collection,Human Ortholog
CNAG_00146,2.40E-05,6.22E-05,0,NESS,0.125677112,0.000939325,0.243651512,0.000606957,48,27,TRUE,FALSE
CNAG_00150,3.60E-05,7.18E-05,0,NESS,-0.058249567,0.752700634,0.337316325,0.000516135,63,11,TRUE,FALSE
CNAG_00153,0,0,0,NESS,0.053941508,0.238498402,-0.034895202,0.616209187,46,28,TRUE,FALSE
CNAG_00154,0,0,0,NESS,0.07263414,0.084648708,-0.000787969,0.59620401,40,88,TRUE,FALSE
CNAG_00155,3.70E-05,7.47E-05,0,NESS,-0.059565025,0.57253384,0.49124587,0.059488735,26,2,TRUE,FALSE
CNAG_00156,0.017169,0.00953102,8.28E-171,NESS,-0.133990881,0.559545544,-0.049938927,0.523358236,9,6,TRUE,FALSE
CNAG_00157,8.60E-05,0.000104466,0,NESS,0.192830293,0.069043372,0.098337212,0.122422016,11,47,TRUE,FALSE
CNAG_00158,0,0,0,NESS,-0.107291778,0.301844087,0.130850872,0.045226931,40,23,TRUE,FALSE
CNAG_00159,0.001783,0.001513979,2.98E-251,NESS,-0.056860785,0.587779131,-0.08584143,0.163499343,8,30,TRUE,FALSE
CNAG_00160,1.00E-06,1.00E-05,0,NESS,0.032105405,0.389121505,0.012955969,0.955967996,43,10,TRUE,FALSE
CNAG_00161,0,0,0,NESS,0.009201655,0.679031665,-0.102961791,0.031330447,41,58,TRUE,FALSE
CNAG_00162,0.000899,0.000636514,1.39E-288,NESS,-0.069200895,0.556400914,0.046169114,0.146310672,28,31,TRUE,FALSE
CNAG_00164,0,0,0,NESS,-0.110005155,0.04493272,-0.121323039,0.184074506,57,23,TRUE,FALSE
CNAG_00167,0,0,0,NESS,-0.138032437,0.032822727,0.037768735,0.278828676,43,45,TRUE,FALSE
CNAG_00173,9.00E-06,2.88E-05,0,NESS,-0.052563305,0.711943239,-0.060480122,0.691127279,28,43,TRUE,FALSE
CNAG_00177,0,0,0,NESS,0.026722182,0.242111608,NA,NA,54,0,TRUE,FALSE
CNAG_00183,0,0,0,NESS,0.599818742,0.001132548,NA,NA,17,0,TRUE,FALSE
CNAG_00185,2.50E-05,5.00E-05,0,NESS,-0.151878664,0.036179983,0.003016724,0.397944103,28,56,TRUE,FALSE
CNAG_00193,1.50E-05,4.11E-05,0,NESS,0.183023455,0.021853564,NA,NA,29,0,TRUE,FALSE
CNAG_00194,0.002969,0.001705647,5.03E-246,NESS,0.051157758,0.739883294,-0.102952585,0.953142575,18,13,TRUE,FALSE
CNAG_00229,1.80E-05,4.35E-05,0,NESS,-0.080860951,0.486813233,0.017777571,0.86963437,13,3,TRUE,FALSE
CNAG_00235,1.00E-06,1.00E-05,0,NESS,0.028068947,0.510655902,-0.034791179,0.374464768,19,7,TRUE,FALSE
CNAG_00240,0,0,0,NESS,-0.718840729,2.21E-10,-0.175697217,0.055227749,39,14,TRUE,FALSE
CNAG_00242,0,0,0,NESS,-0.067862861,0.331292308,-0.134629099,0.333847022,45,13,TRUE,FALSE
CNAG_00250,2.30E-05,6.17E-05,0,NESS,0.035954809,0.489636181,-0.132700268,0.414112179,19,4,TRUE,FALSE
CNAG_00251,2.00E-06,1.41E-05,0,NESS,-0.129562869,0.021966891,0.099545385,0.18848478,62,18,TRUE,FALSE
CNAG_00257,8.60E-05,0.00011461,0,NESS,-0.111341641,0.004346982,-0.029960486,0.892925498,129,9,TRUE,FALSE
CNAG_00258,2.80E-05,6.21E-05,0,NESS,-0.066772285,0.439374843,-0.104468093,0.082286029,80,42,TRUE,FALSE
CNAG_00260,8.50E-05,0.000132097,0,NESS,0.036855365,0.58033088,-0.077541459,0.606910982,16,39,TRUE,FALSE
CNAG_00261,7.00E-06,2.93E-05,0,NESS,-0.269404686,6.79E-05,-0.221914175,0.003547929,28,25,TRUE,FALSE
CNAG_00262,0.000928,0.000782263,1.02E-279,NESS,0.108546237,0.472045364,-0.04043149,0.611834788,11,26,TRUE,FALSE
CNAG_00264,0,0,0,NESS,-0.006721375,0.77804364,-0.076126841,0.809660473,39,2,TRUE,FALSE
CNAG_00266,0,0,0,NESS,-0.159903929,0.050741918,-0.021905733,0.866081591,24,73,TRUE,FALSE
CNAG_00272,0.000148,0.000212954,0,NESS,-0.109619921,0.011341645,-0.046474679,0.810420881,116,56,TRUE,FALSE
CNAG_00277,1.00E-06,1.00E-05,0,NESS,-0.041844139,0.692896184,0.108629212,0.005473884,30,47,TRUE,FALSE
CNAG_00280,1.90E-05,4.65E-05,0,NESS,0.486979916,6.37E-08,-0.064889379,0.541838299,19,80,TRUE,FALSE
CNAG_00283,0.000458,0.000527655,1.10E-296,NESS,-0.053933138,0.518589185,0.112858973,0.002215259,46,63,TRUE,FALSE
CNAG_00284,0,0,0,NESS,-0.07030083,0.49099636,0.066243752,0.098882468,87,49,TRUE,FALSE
CNAG_00285,0,0,0,NESS,0.069285281,0.029654903,-0.221976123,0.204300045,103,7,TRUE,FALSE
CNAG_00289,2.20E-05,4.84E-05,0,NESS,-0.029532329,0.52884862,-0.114628666,0.167331318,13,17,TRUE,FALSE
CNAG_00290,0,0,0,NESS,-0.066336387,0.487810625,-0.179888951,0.080857968,61,13,TRUE,FALSE
CNAG_00291,0,0,0,NESS,0.044787625,0.514317755,-0.257172465,0.122756111,30,10,TRUE,FALSE
CNAG_00301,0.00094,0.000700072,1.73E-284,NESS,0.023194417,0.838887194,-0.513071379,0.00915787,23,6,TRUE,FALSE
CNAG_00302,0.000463,0.000524482,6.05E-297,NESS,0.126614255,0.088698442,-0.096488047,0.371902288,15,11,TRUE,FALSE
CNAG_00303,3.00E-06,1.71E-05,0,NESS,-0.003954876,0.751492016,0.03958451,0.55971543,137,11,TRUE,FALSE
CNAG_00304,6.70E-05,0.000110147,0,NESS,0.10059941,0.335924539,-0.130176461,0.054538841,8,37,TRUE,FALSE
CNAG_00306,4.80E-05,9.04E-05,0,NESS,0.017108567,0.477217169,-0.114747538,0.108791418,34,42,TRUE,FALSE
CNAG_00313,0,0,0,NESS,-0.034991056,0.463685314,-0.0353507,0.574608086,94,26,TRUE,FALSE
CNAG_00315,0,0,0,NESS,0.001609751,0.895347238,-0.037074561,0.76909167,22,43,TRUE,FALSE
CNAG_00317,0,0,0,NESS,-0.215259402,0.007447718,-0.061705732,0.632461468,34,23,TRUE,FALSE
CNAG_00321,0.002068,0.001481392,3.66E-252,NESS,-0.04230698,0.385770933,-0.064288594,0.751687551,257,10,TRUE,FALSE
CNAG_00322,2.00E-06,1.41E-05,0,NESS,-0.077224985,0.193407492,-0.116679631,0.045662311,45,70,TRUE,FALSE
CNAG_00323,2.00E-06,1.41E-05,0,NESS,-0.10286191,0.400821037,0.064110983,0.835733506,52,6,TRUE,FALSE
CNAG_00326,0.097171,0.027411283,1.09E-117,NESS,-0.412682562,0.079827117,-0.435257782,6.21E-10,3,36,TRUE,FALSE
CNAG_00332,0,0,0,NESS,0.05081708,0.257651512,-0.577050076,0.075538268,64,4,TRUE,FALSE
CNAG_00333,0.00202,0.001418777,5.04E-254,NESS,-0.173401068,0.044098977,-0.05745143,0.63830137,20,22,TRUE,FALSE
CNAG_00337,2.80E-05,6.21E-05,0,NESS,-0.095449927,0.438288804,0.020450201,0.490649462,37,33,TRUE,FALSE
CNAG_00344,0,0,0,NESS,0.019939249,0.464600986,-0.295743139,0.000515277,67,28,TRUE,FALSE
CNAG_00349,1.70E-05,5.51E-05,0,NESS,-0.060707096,0.170834942,0.354511199,0.017564969,42,5,TRUE,FALSE
CNAG_00354,0.001937,0.001379771,3.14E-255,NESS,-0.007106182,0.969252098,0.098149748,0.015276634,9,52,TRUE,FALSE
CNAG_00359,4.00E-06,1.97E-05,0,NESS,-0.027446176,0.843627807,-0.068012796,0.531382865,22,24,TRUE,FALSE
CNAG_00361,0.250585,0.068657592,4.83E-59,NESS,0.123560559,0.276972585,-0.062425,0.861593191,4,21,TRUE,FALSE
CNAG_00363,0.025021,0.016304832,4.91E-147,NESS,-0.13765918,0.29368406,0.015479464,0.82304421,9,5,TRUE,FALSE
CNAG_00372,0.322513,0.077600669,2.67E-41,NESS,-0.201491056,0.207200058,-0.028100165,0.227559256,8,15,TRUE,FALSE
CNAG_00373,0,0,0,NESS,0.091219586,0.209142088,0.038045499,0.761611608,24,12,TRUE,FALSE
CNAG_00374,9.00E-06,3.51E-05,0,NESS,0.075277043,0.017218603,-0.11228211,0.112062835,102,36,TRUE,FALSE
CNAG_00378,0.000357,0.000483935,2.06E-300,NESS,-0.10155632,0.676349301,0.058886761,0.460057554,6,15,TRUE,FALSE
CNAG_00386,0.007564,0.006159652,2.03E-190,NESS,-0.019847557,0.544608524,-0.197657229,0.134475618,22,9,TRUE,FALSE
CNAG_00387,0.000219,0.000248102,0,NESS,-0.050932896,0.791508106,-0.269944719,0.000523107,28,27,TRUE,FALSE
CNAG_00391,0.000451,0.00031766,1.66749131734004e-318,NESS,-0.067229272,0.385176957,0.000108419,0.489965865,26,34,TRUE,FALSE
CNAG_00398,0.000606,0.000589096,6.16E-292,NESS,-0.166834692,0.011600716,-0.060124821,0.377704658,29,45,TRUE,FALSE
CNAG_00400,1.50E-05,4.11E-05,0,NESS,-0.058054113,0.636387455,-0.024762047,0.76223484,15,39,TRUE,FALSE
