Gene,Essential,Essentiality Standard Deviation,Essentiality P-value,Essentiality Classification,Mean(Log10(Fluconazole/DMSO frequency)) in Gene Body,P value of Mean Fold Change in Gene Body Compared to Intergenic Inserts,Mean(Log10(Fluconazole/DMSO frequency)) in 5' 300 bases,P value of Mean Fold Change in 5' 300 bases Compared to Intergenic Inserts,Insert sites in Gene Body,Insert sites in 300 bases to 5' of ATG,In Madhani Deletion Collection,Human Ortholog
CNAG_06550,0.954506,0.027306901,5.08E-123,ESS,0.156742479,0.669700537,-0.103350438,0.092385329,2,34,FALSE,FALSE
CNAG_06584,0.021753,0.016781113,4.29E-146,NESS,0.050239851,0.323178753,0.306106301,0.008753673,42,9,FALSE,FALSE
CNAG_06588,0.931131,0.020278932,1.63E-133,ESS,-0.127317945,0.631184146,-0.013216491,0.594689635,7,31,FALSE,FALSE
CNAG_06590,0.000438,0.000358668,2.76137607732756e-313,NESS,-0.022107733,0.499362296,-0.008320803,0.825325272,23,15,FALSE,FALSE
CNAG_06599,0.006091,0.00319874,1.02E-218,NESS,0.40815234,0.023719298,-0.122208793,0.145049264,7,29,FALSE,FALSE
CNAG_06621,0.112576,0.066724142,2.78E-78,NESS,NA,NA,-0.092127901,0.066574542,0,54,FALSE,FALSE
CNAG_06624,0.929587,0.032814134,9.60E-113,ESS,NA,NA,0.019577449,0.561939462,0,55,FALSE,FALSE
CNAG_06629,3.00E-05,6.11E-05,0,NESS,0.052959725,0.363812331,-0.124922578,0.241978401,18,17,FALSE,FALSE
CNAG_06674,0.904926,0.030823235,6.82E-113,ESS,-0.720938721,NA,-0.264163449,5.86E-05,1,31,FALSE,FALSE
CNAG_06677,0,0,0,NESS,-0.036810264,0.584479998,-0.06584242,0.685440183,57,23,FALSE,FALSE
CNAG_06678,0,0,0,NESS,-0.314868884,4.52E-08,-0.165905415,0.020114797,69,36,FALSE,FALSE
CNAG_06679,0.956174,0.027078138,1.54E-123,ESS,0.221897553,NA,-0.383054407,3.26E-05,1,18,FALSE,FALSE
CNAG_06683,0.01841,0.007604006,2.09E-180,NESS,0.020688938,0.506280301,0.063427427,0.054906794,33,26,FALSE,FALSE
CNAG_06688,0.988038,0.006303787,4.87E-189,ESS,NA,NA,0.087271371,0.109612484,0,30,FALSE,FALSE
CNAG_06703,0.000319,0.000320257,3.63709389579909e-318,NESS,-0.054918989,0.888385928,-0.180767843,0.0015153,13,36,FALSE,FALSE
CNAG_06712,0.034576,0.014914538,5.44E-150,NESS,-0.327053481,0.189595986,-0.221999393,0.000974805,5,34,FALSE,FALSE
CNAG_06715,0.000295,0.00033132,1.04418718935461e-316,NESS,-0.098352555,0.276580422,0.155515516,0.312407816,12,2,FALSE,FALSE
CNAG_06726,0,0,0,NESS,-0.166532498,0.021378766,-0.004661136,0.475344577,38,30,FALSE,FALSE
CNAG_06731,0,0,0,NESS,-0.111551474,0.225830532,0.045570927,0.584553107,49,8,FALSE,FALSE
CNAG_06744,0.744198,0.149582981,7.77E-30,ESS,-0.147161311,NA,-0.078187857,0.745239411,1,14,FALSE,FALSE
CNAG_06749,0,0,0,NESS,0.057498463,0.087842017,0.12223594,0.227159476,20,6,FALSE,FALSE
CNAG_06757,2.70E-05,6.17E-05,0,NESS,0.002507491,0.555232923,-0.164083072,0.277891271,12,7,FALSE,FALSE
CNAG_06762,0,0,0,NESS,0.117939122,0.004332037,0.117309474,0.000759205,42,56,FALSE,FALSE
CNAG_06765,0,0,0,NESS,0.827115616,1.53E-46,0.516550669,NA,82,1,FALSE,FALSE
CNAG_06770,0.986627,0.010129134,1.57E-168,ESS,NA,NA,-0.101132331,0.339059746,0,27,FALSE,FALSE
CNAG_06780,0,0,0,NESS,0.070387961,0.21031558,0.148004871,0.084034946,17,12,FALSE,FALSE
CNAG_06782,0.000626,0.000440298,1.88E-304,NESS,-0.094456621,0.402137134,-0.071689926,0.531744196,14,52,FALSE,FALSE
CNAG_06784,3.00E-06,1.71E-05,0,NESS,-0.05872017,0.979537042,-0.21462048,0.007277456,23,34,FALSE,FALSE
CNAG_06785,7.00E-06,2.93E-05,0,NESS,-0.185524212,0.251642143,0.030798571,0.387061439,13,19,FALSE,FALSE
CNAG_06801,0.000678,0.000653132,1.71E-287,NESS,0.075783232,0.353902754,0.046728149,0.528468249,9,18,FALSE,FALSE
CNAG_06802,0.558428,0.053499767,1.08E-18,ESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_06807,0,0,0,NESS,0.066498213,0.267847231,-0.150959873,0.085341169,42,22,FALSE,FALSE
CNAG_06808,0,0,0,NESS,-0.091458308,0.211056397,0.009662368,0.855496573,30,24,FALSE,FALSE
CNAG_06824,0.012707,0.006368106,1.55E-188,NESS,-0.580795755,1.42E-05,NA,NA,11,0,FALSE,FALSE
CNAG_06830,0.980766,0.010595065,4.47E-166,ESS,NA,NA,0.026110217,0.690288102,0,21,FALSE,FALSE
CNAG_06833,0,0,0,NESS,0.108655734,0.131722547,-0.091212817,0.436274185,33,5,FALSE,FALSE
CNAG_06843,4.00E-06,2.43E-05,0,NESS,0.005601767,0.750864256,0.044256112,0.516580814,92,6,FALSE,FALSE
CNAG_06844,0.030681,0.01653115,6.27E-146,NESS,-0.004400943,0.873430344,-0.209286927,0.556699713,4,2,FALSE,FALSE
CNAG_06845,0.59942,0.08054469,9.51E-22,ESS,-0.029676836,0.730776169,-0.18367282,0.007426432,37,34,FALSE,FALSE
CNAG_06849,0.370224,0.158476469,9.43E-13,NESS,NA,NA,-0.123577439,0.31473818,0,4,FALSE,FALSE
CNAG_06864,0.823758,0.045566628,9.29E-87,ESS,0.549720418,0.099580715,-0.173376429,0.065462832,5,17,FALSE,FALSE
CNAG_06895,4.00E-06,1.97E-05,0,NESS,-0.097038969,0.325592949,-0.008043109,0.921773727,23,2,FALSE,FALSE
CNAG_06897,0.004062,0.003487055,3.48E-215,NESS,-0.410960537,2.18E-07,-0.21947841,0.018988134,23,25,FALSE,FALSE
CNAG_06898,0.848368,0.039778386,1.31E-95,ESS,-0.811963321,0.00703987,-0.302435888,0.000433036,3,20,FALSE,FALSE
CNAG_06900,0.998326,0.001424931,7.22E-254,ESS,NA,NA,-0.009980474,0.810739211,0,33,FALSE,FALSE
CNAG_06908,2.00E-06,1.41E-05,0,NESS,0.233499297,0.021786308,-0.045845357,0.664288626,9,41,FALSE,FALSE
CNAG_06923,0,0,0,NESS,-0.074427593,0.446263987,-0.011106272,0.699266069,47,23,FALSE,FALSE
CNAG_06928,0.002046,0.001464835,1.20E-252,NESS,-0.008492385,0.98817894,0.125205008,0.19097991,14,21,FALSE,FALSE
CNAG_06936,8.40E-05,0.000113458,0,NESS,0.099620352,0.288563918,NA,NA,20,0,FALSE,FALSE
CNAG_06938,0.086042,0.024654117,2.14E-123,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_06939,0.351001,0.070426464,1.64E-38,NESS,0.168837112,0.127258529,NA,NA,12,0,FALSE,FALSE
CNAG_06943,5.20E-05,8.35E-05,0,NESS,0.049892486,0.34937367,-0.15602413,0.121974736,12,15,FALSE,FALSE
CNAG_06944,0.000802,0.000708531,5.54E-284,NESS,0.22251735,0.062882449,NA,NA,10,0,FALSE,FALSE
CNAG_06953,0.00811,0.00335654,1.80E-216,NESS,-0.181274913,0.481835875,0.408725046,NA,3,1,FALSE,FALSE
CNAG_06954,0.059796,0.022377017,3.48E-130,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_06955,0.026836,0.009362093,1.04E-170,NESS,NA,NA,0.038009638,0.826630683,0,4,FALSE,FALSE
CNAG_06956,0.009962,0.005188756,1.39E-197,NESS,-0.158313688,NA,NA,NA,1,0,FALSE,FALSE
CNAG_06957,0.002088,0.001261975,4.71E-259,NESS,0.285406351,0.500155064,NA,NA,2,0,FALSE,FALSE
CNAG_06958,0.061683,0.02166234,2.15E-131,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07357,0.00271,0.001813502,2.07E-243,NESS,-0.039521296,0.60326413,0.242539834,0.238042351,7,7,FALSE,FALSE
CNAG_07358,9.70E-05,0.000150054,0,NESS,-0.076661063,0.168550028,0.260690291,0.031588167,29,13,FALSE,FALSE
CNAG_07367,0,0,0,NESS,-0.036793895,0.911977298,-0.09675778,0.124108388,59,31,FALSE,FALSE
CNAG_07372,0.012226,0.007241779,4.71E-183,NESS,-0.114918612,0.446827165,-0.131677366,0.591771631,4,5,FALSE,FALSE
CNAG_07381,0.998419,0.001344401,2.24E-256,ESS,-0.384427513,NA,-0.038766351,0.724101881,1,21,FALSE,FALSE
CNAG_07382,0.923454,0.023184336,5.30E-127,ESS,-0.265806541,0.946909818,0.155515722,0.001478184,2,47,FALSE,FALSE
CNAG_07389,0.00025,0.000243916,0,NESS,0.012331064,0.776157771,-0.180865685,0.298515101,9,8,FALSE,FALSE
CNAG_07390,0.013798,0.010190627,3.12E-168,NESS,-0.136651053,0.26748178,0.215936372,0.0286539,8,11,FALSE,FALSE
CNAG_07393,0.349603,0.069434125,2.40E-39,NESS,0.057368194,0.755026584,NA,NA,2,0,FALSE,FALSE
CNAG_07394,0.094615,0.030521426,2.32E-113,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07406,0.001461,0.001362032,7.93E-256,NESS,0.082041154,0.034293636,-0.122953678,0.032705174,31,38,FALSE,FALSE
CNAG_07407,0.00397,0.002007989,6.38E-239,NESS,-0.205607614,0.203812518,-0.181749823,0.00819838,4,34,FALSE,FALSE
CNAG_07421,4.30E-05,8.79E-05,0,NESS,-0.125982342,0.12273061,0.046787685,0.456855453,40,24,FALSE,FALSE
CNAG_07428,1.00E-06,1.00E-05,0,NESS,-0.117294807,0.157293996,-0.132748885,0.300924469,37,17,FALSE,FALSE
CNAG_07436,0.012298,0.006624716,7.10E-187,NESS,-0.049676041,0.635376879,0.292489561,0.000124105,28,24,FALSE,FALSE
CNAG_07447,0,0,0,NESS,-0.156397328,0.037562539,-0.071123806,0.882646772,32,13,FALSE,FALSE
CNAG_07456,0.002076,0.00168883,1.58E-246,NESS,0.044195251,0.582119334,-0.004495615,0.992091404,6,5,FALSE,FALSE
CNAG_07461,0.000173,0.000301798,9.90107554265858e-321,NESS,0.1059833,0.37219784,-0.091720741,0.923716822,11,6,FALSE,FALSE
CNAG_07476,0.019775,0.009008059,5.31E-173,NESS,-0.043769592,0.560743115,-0.323113713,0.183831116,68,4,FALSE,FALSE
CNAG_07490,0.001458,0.00137372,1.85E-255,NESS,-0.025019334,0.875847434,0.012138123,0.694610648,30,14,FALSE,FALSE
CNAG_07492,0.000595,0.000499368,4.83E-299,NESS,-0.114270855,0.499239885,0.231586692,0.216855804,15,8,FALSE,FALSE
CNAG_07493,0,0,0,NESS,0.101306373,0.044205861,0.035772426,0.118608988,60,33,FALSE,FALSE
CNAG_07495,0.735254,0.095779928,6.56E-44,ESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07496,0.839453,0.039001068,2.40E-95,ESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07497,0.503702,0.06997405,0.59795273,UNK,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07505,0,0,0,NESS,-0.00125949,0.706174149,-0.071350791,0.577187035,58,10,FALSE,FALSE
CNAG_07508,0.000133,0.000134881,0,NESS,-0.050702094,0.37921689,-0.27770454,0.007665844,48,13,FALSE,FALSE
CNAG_07513,0.800693,0.048291209,3.30E-81,ESS,0.110800386,0.084174186,-0.022176768,0.898095293,14,53,FALSE,FALSE
CNAG_07519,4.10E-05,8.18E-05,0,NESS,-0.065565569,0.190870196,0.068768911,0.06800483,56,37,FALSE,FALSE
CNAG_07528,1.60E-05,7.62E-05,0,NESS,-0.142737566,0.201173608,-0.221424734,0.004232849,20,24,FALSE,FALSE
CNAG_07530,0.975779,0.011480394,3.53E-162,ESS,-0.178307662,NA,NA,NA,1,0,FALSE,FALSE
CNAG_07531,0,0,0,NESS,0.120450817,0.05731335,0.503867496,1.78E-06,33,18,FALSE,FALSE
CNAG_07532,0.243389,0.074624213,7.46E-57,NESS,0.907861968,2.31E-05,0.118760899,0.021436384,7,25,FALSE,FALSE
CNAG_07533,2.00E-06,1.41E-05,0,NESS,0.183387659,0.000349647,0.145235024,0.002532328,33,31,FALSE,FALSE
CNAG_07548,1.00E-06,1.00E-05,0,NESS,-0.144934452,0.020253033,0.041626431,0.420244954,40,39,FALSE,FALSE
CNAG_07549,0,0,0,NESS,-0.093322004,0.164142824,-0.04863725,0.908228617,40,8,FALSE,FALSE
CNAG_07551,0.001061,0.00090374,1.69E-273,NESS,-0.031047584,0.9613517,-0.056450861,0.736220831,13,42,FALSE,FALSE
CNAG_07552,0.000117,0.000151794,0,NESS,-0.329833539,7.82E-16,-0.023127337,0.913162193,123,36,FALSE,FALSE
CNAG_07560,0.262114,0.075171729,1.41E-53,NESS,-0.339128924,0.043561041,-0.027841686,0.938785266,9,51,FALSE,FALSE
CNAG_07564,0.000472,0.00050414,1.21E-298,NESS,-0.073050019,0.464543258,-0.190007068,0.00184474,25,58,FALSE,FALSE
CNAG_07571,5.40E-05,7.44E-05,0,NESS,-0.337150808,0.000596992,0.118855562,0.05783545,28,18,FALSE,FALSE
CNAG_07574,0.001114,0.001346677,2.41E-256,NESS,-0.075693014,0.344972215,0.097598251,0.324990042,15,14,FALSE,FALSE
CNAG_07575,0.000425,0.000291764,3.65608577922522e-322,NESS,0.152337151,0.080306669,-0.062906475,0.782586089,9,3,FALSE,FALSE
CNAG_07577,0.000501,0.000502819,9.37E-299,NESS,-0.223308535,0.045685755,-0.076775627,0.768553496,13,2,FALSE,FALSE
CNAG_07584,0.08844,0.025960483,6.19E-121,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07585,0.380675,0.09750297,1.59E-21,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07586,0.075371,0.021026137,2.60E-131,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07595,0.000263,0.000254913,0,NESS,-0.330453864,0.000199248,NA,NA,20,0,FALSE,FALSE
CNAG_07597,1.00E-06,1.00E-05,0,NESS,-0.027990732,0.557361197,0.133594578,0.025209166,128,24,FALSE,FALSE
CNAG_07610,0.00046,0.000481999,1.41E-300,NESS,-0.085173457,0.295470517,-0.087428595,0.740224655,19,26,FALSE,FALSE
CNAG_07613,2.30E-05,5.29E-05,0,NESS,-0.074769,0.674836704,-0.025716896,0.884679584,5,24,FALSE,FALSE
CNAG_07620,0.714209,0.115784293,6.73E-34,ESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07621,0.052305,0.018154752,7.00E-140,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07625,0,0,0,NESS,0.005211062,0.471897369,0.086364218,0.269727044,58,14,FALSE,FALSE
CNAG_07633,0.000166,0.000162816,0,NESS,-0.216160187,0.209929838,-0.098693095,0.74270394,13,19,FALSE,FALSE
CNAG_07634,0.002419,0.001036865,1.79E-267,NESS,0.018961538,0.841279685,0.089919281,0.092915751,8,28,FALSE,FALSE
CNAG_07640,0.000287,0.000328343,4.266347759918e-317,NESS,0.021247401,0.890487668,-0.089120436,0.363394717,17,21,FALSE,FALSE
CNAG_07644,0.00028,0.000400252,0.00E+00,NESS,-0.025982182,0.887933377,-0.241987787,0.140425389,60,6,FALSE,FALSE
CNAG_07649,0.000158,0.000164028,0,NESS,0.02070979,0.779554665,0.0239771,0.225219266,23,46,FALSE,FALSE
CNAG_07651,0.003546,0.00213501,2.54E-236,NESS,-0.07326336,0.662625069,0.338800404,0.264303516,5,3,FALSE,FALSE
CNAG_07652,0.191157,0.047777037,8.86E-83,NESS,NA,NA,0.684207187,0.02888674,0,2,FALSE,FALSE
CNAG_07653,0.093734,0.034205919,1.39E-108,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07654,0.816114,0.074322631,2.04E-65,ESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07655,0.392883,0.062485674,2.15E-31,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07661,0.618211,0.054704492,2.92E-39,ESS,-0.104047767,0.787746927,0.294040091,0.001457684,3,19,FALSE,FALSE
CNAG_07665,0.01694,0.0074877,3.36E-181,NESS,-0.034216336,0.708338212,NA,NA,15,0,FALSE,FALSE
CNAG_07667,0.374126,0.096245884,2.68E-23,NESS,0.129120848,0.139462636,-0.02525362,0.926385332,10,32,FALSE,FALSE
CNAG_07672,0.776871,0.055233088,3.60E-72,ESS,0.095485386,0.450664403,0.066966527,0.221173885,3,13,FALSE,FALSE
CNAG_07673,0.000971,0.000920507,1.03E-272,NESS,-0.033989169,0.821129313,-0.102560904,0.20780357,43,24,FALSE,FALSE
CNAG_07678,0,0,0,NESS,-0.025906911,0.932329934,0.174392653,4.10E-05,41,62,FALSE,FALSE
CNAG_07681,0.904422,0.035588917,1.07E-106,ESS,0.170291122,0.768362165,0.012905819,0.57556339,10,31,FALSE,FALSE
CNAG_07684,0.003515,0.002185599,2.57E-235,NESS,0.131435882,0.460961103,-0.415298972,0.045707125,16,3,FALSE,FALSE
CNAG_07700,0,0,0,NESS,-0.084991525,0.259163052,0.003642176,0.852989571,61,16,FALSE,FALSE
CNAG_07704,0.209922,0.066398259,1.64E-66,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07705,0.037757,0.012206144,2.64E-158,NESS,0.131333692,NA,NA,NA,1,0,FALSE,FALSE
CNAG_07706,0.000501,0.000411083,2.05E-307,NESS,0.071583522,0.120337096,-0.247328091,0.000165722,27,42,FALSE,FALSE
CNAG_07709,0.004188,0.002103594,6.66E-237,NESS,-0.057088703,0.180823341,0.101778519,0.084402566,162,47,FALSE,FALSE
CNAG_07715,0.022445,0.012306337,2.36E-159,NESS,0.243907175,9.31E-06,-0.111262966,1.82E-06,41,334,FALSE,FALSE
CNAG_07720,2.30E-05,5.29E-05,0,NESS,-0.101268583,0.000437624,0.132297679,4.28E-14,262,181,FALSE,FALSE
CNAG_07723,8.30E-05,0.000121485,0,NESS,-0.123336364,4.34E-07,-0.304727467,3.83E-13,281,78,FALSE,FALSE
CNAG_07724,0.932525,0.024120717,3.26E-126,ESS,-0.14024809,0.195099285,-0.021526664,0.878678864,14,52,FALSE,FALSE
CNAG_07729,0.000425,0.000464796,3.84E-302,NESS,-0.021051602,0.966755143,0.005090012,0.635097016,118,38,FALSE,FALSE
CNAG_07734,0.001949,0.001218336,1.40E-260,NESS,-0.028964558,0.923559782,-0.052870298,0.21622226,259,100,FALSE,FALSE
CNAG_07737,0.000406,0.000433874,4.20E-305,NESS,-0.007317953,0.542671984,-0.059272687,0.8357367,115,5,FALSE,FALSE
CNAG_07739,1.00E-06,1.00E-05,0,NESS,0.014313342,0.638249258,0.004930351,0.470010419,95,31,FALSE,FALSE
CNAG_07740,0,0,0,NESS,-0.012319195,0.752947311,-0.095294067,0.431544676,32,38,FALSE,FALSE
CNAG_07753,1.90E-05,4.86E-05,0,NESS,-0.051049521,0.847622686,NA,NA,4,0,FALSE,FALSE
CNAG_07754,0.385843,0.106483649,2.95E-18,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07755,0.295441,0.055148368,7.06E-60,NESS,0.023275263,0.784017068,NA,NA,2,0,FALSE,FALSE
CNAG_07760,0.000574,0.000597912,2.66E-291,NESS,0.083453279,0.17920797,-0.195046486,0.195318707,20,5,FALSE,FALSE
CNAG_07768,0.000266,0.000358228,2.36371389123621e-313,NESS,0.014843373,0.743114924,-0.031118486,0.691738712,10,25,FALSE,FALSE
CNAG_07785,0.000535,0.000446394,7.20E-304,NESS,-0.080418259,0.112600642,0.135151483,0.007763522,76,18,FALSE,FALSE
CNAG_07786,0.088412,0.025526213,1.16E-121,NESS,NA,NA,-0.259311408,0.195514186,0,3,FALSE,FALSE
CNAG_07787,0.463295,0.082121127,2.09E-05,UNK,NA,NA,0.256338198,0.239631552,0,2,FALSE,FALSE
CNAG_07788,0.000181,0.000246468,0,NESS,-0.134509315,0.298958353,NA,NA,23,0,FALSE,FALSE
CNAG_07789,0.705455,0.125148238,5.17E-30,ESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07790,0.075486,0.025049067,8.57E-124,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07791,0.078973,0.032749653,5.74E-112,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07792,0.001119,0.000863595,1.91E-275,NESS,-0.218933275,NA,NA,NA,1,0,FALSE,FALSE
CNAG_07793,4.00E-05,7.11E-05,0,NESS,0.270509412,0.005433093,-0.232398105,0.000627025,11,31,FALSE,FALSE
CNAG_07796,0.801733,0.040121626,3.71E-89,ESS,0.361571265,0.076994431,0.05033153,0.035750278,2,39,FALSE,FALSE
CNAG_07825,0.95626,0.016091594,7.11E-146,ESS,0.215479287,0.575286873,-0.087165845,0.109020207,3,68,FALSE,FALSE
CNAG_07832,0.030311,0.016794353,2.77E-145,NESS,-0.010498182,0.935616318,0.124928642,0.289557105,4,9,FALSE,FALSE
CNAG_07834,0.418345,0.078717253,1.68E-17,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07835,0.002184,0.001844825,1.01E-242,NESS,0.668292568,0.024442666,-0.283252425,NA,2,1,FALSE,FALSE
CNAG_07836,0.01284,0.004433709,4.32E-204,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07837,1.00E-06,1.00E-05,0,NESS,-0.148974738,0.09713014,0.016816544,0.770570147,17,34,FALSE,FALSE
CNAG_07844,5.00E-06,2.19E-05,0,NESS,-0.105335992,0.320364667,0.010471084,0.431297397,22,30,FALSE,FALSE
CNAG_07857,0.849371,0.043684052,9.26E-92,ESS,-0.026454252,0.884035338,-0.203720456,0.014260671,9,32,FALSE,FALSE
CNAG_07860,3.00E-06,1.71E-05,0,NESS,-0.005063091,0.695081739,0.080798397,NA,28,1,FALSE,FALSE
CNAG_07861,0.001301,0.001250333,1.61E-259,NESS,-0.028150497,0.996898643,-0.122580502,0.693511433,23,12,FALSE,FALSE
CNAG_07865,0,0,0,NESS,-0.059690047,0.252153153,-0.10852083,0.187391934,43,42,FALSE,FALSE
CNAG_07868,0.235456,0.052926996,4.75E-72,NESS,0.189336702,0.052453327,-0.158124952,0.120916061,9,19,FALSE,FALSE
CNAG_07875,0.343011,0.054070405,3.13E-50,NESS,0.769839482,NA,NA,NA,1,0,FALSE,FALSE
CNAG_07876,0.000271,0.000294836,1.00789391751614e-321,NESS,-0.112171452,0.30852609,0.016838052,0.508028626,30,21,FALSE,FALSE
CNAG_07877,2.50E-05,5.92E-05,0,NESS,-0.038148981,0.636058697,-0.067372256,0.708204298,27,7,FALSE,FALSE
CNAG_07882,0.000142,0.000220733,0,NESS,-0.136290518,0.580021673,0.053314853,0.099753937,14,36,FALSE,FALSE
CNAG_07884,0.729729,0.051644739,3.00E-67,ESS,-0.044616731,0.905113606,-0.017108467,0.81277341,2,7,FALSE,FALSE
CNAG_07885,3.20E-05,6.01E-05,0,NESS,-0.001126154,0.75477243,0.143354326,0.063091589,38,16,FALSE,FALSE
CNAG_07888,0.001158,0.001327425,5.84E-257,NESS,-0.171907486,0.384716829,0.017502741,0.625838742,10,17,FALSE,FALSE
CNAG_07892,0.005144,0.00280531,1.92E-224,NESS,-0.016302767,0.557665655,NA,NA,4,0,FALSE,FALSE
CNAG_07893,6.80E-05,0.000102376,0,NESS,-0.079950179,0.377747566,NA,NA,12,0,FALSE,FALSE
CNAG_07894,0.04832,0.012407997,1.32E-156,NESS,-0.280254552,0.176299024,-0.391545054,NA,2,1,FALSE,FALSE
CNAG_07896,0.000163,0.000240225,0,NESS,0.044212215,0.230092711,-0.508248697,0.028227047,31,3,FALSE,FALSE
CNAG_07898,1.40E-05,4.27E-05,0,NESS,0.011918023,0.79131959,0.062069431,0.231174172,44,24,FALSE,FALSE
CNAG_07905,0.000117,0.000137109,0,NESS,-0.247465353,0.014777099,-0.093697287,0.385780346,17,36,FALSE,FALSE
CNAG_07910,0.00167,0.001313143,2.22E-257,NESS,-0.096210677,0.489375452,NA,NA,6,0,FALSE,FALSE
CNAG_07918,0.572751,0.067130978,1.65E-18,ESS,0.830303696,NA,NA,NA,1,0,FALSE,FALSE
CNAG_07919,0.087724,0.026517927,4.23E-120,NESS,NA,NA,NA,NA,0,0,FALSE,FALSE
CNAG_07920,0.092194,0.034153057,8.21E-109,NESS,NA,NA,0.046769179,0.795944106,0,8,FALSE,FALSE
CNAG_07938,0.036513,0.014843811,5.14E-150,NESS,0.037308378,0.3645097,-0.149359565,0.009790423,37,43,FALSE,FALSE
CNAG_07945,0.037724,0.012443676,1.76E-157,NESS,0.398476671,0.063156547,-0.071163336,0.434516605,3,20,FALSE,FALSE
CNAG_07946,0.012751,0.006525668,1.75E-187,NESS,0.135030715,0.311715314,0.332833738,0.807594801,5,2,FALSE,FALSE
CNAG_07947,2.30E-05,5.10E-05,0,NESS,0.008941641,0.649333801,-0.010570805,0.855795819,31,41,FALSE,FALSE
CNAG_07948,3.00E-04,0.000229184,0,NESS,-0.213034216,0.162456795,0.01334135,0.654121666,9,23,FALSE,FALSE
CNAG_07949,0.056609,0.01900893,1.71E-137,NESS,0.147845863,0.537875709,-0.44664065,0.026721537,4,4,FALSE,FALSE
CNAG_07950,3.90E-05,6.95E-05,0,NESS,0.301756725,0.090529066,-0.128882331,0.173638287,3,20,FALSE,FALSE
CNAG_07952,0.000319,0.000700028,1.52E-284,NESS,0.526902604,4.03E-08,0.201896067,0.000436371,17,33,FALSE,FALSE
CNAG_07953,0.000721,0.000663218,7.85E-287,NESS,-0.411071198,0.001890788,NA,NA,14,0,FALSE,FALSE
CNAG_07954,0.010918,0.006149064,3.36E-190,NESS,-0.253801879,0.018830514,0.059155566,0.284823807,10,14,FALSE,FALSE
CNAG_07956,0.99523,0.002938236,1.74E-222,ESS,NA,NA,0.058218809,0.194908865,0,21,FALSE,FALSE
CNAG_07958,0.000137,0.000231663,0,NESS,0.10192307,0.088511156,0.14320534,0.108003787,17,23,FALSE,FALSE
CNAG_07960,0,0,0,NESS,-0.040896765,0.483981993,-0.451395651,0.087381702,96,3,FALSE,FALSE
CNAG_07961,0.009819,0.005868589,2.65E-192,NESS,-0.09957313,0.838921812,-0.245463864,NA,4,1,FALSE,FALSE
CNAG_07962,0.002148,0.00127402,1.22E-258,NESS,0.188883531,0.001418402,0.212419465,6.04E-13,33,101,FALSE,FALSE
CNAG_07963,0.000169,0.000238977,0,NESS,-0.182643303,0.12280871,0.132848758,0.715662023,18,4,FALSE,FALSE
CNAG_07965,0,0,0,NESS,-0.061572861,0.466166384,-0.018770211,0.669139056,76,12,FALSE,FALSE
CNAG_07966,0.106669,0.036366987,1.37E-104,NESS,0.164013263,0.092304528,-0.014793181,0.978038892,8,21,FALSE,FALSE
CNAG_07967,0.009015,0.005804759,7.64E-193,NESS,-0.108737135,0.22387866,-0.085782393,0.298554486,27,32,FALSE,FALSE
CNAG_07969,0.000799,0.00079652,5.97E-279,NESS,-0.050987671,0.704854618,-0.079500815,0.526748886,31,8,FALSE,FALSE
CNAG_07971,0.000277,0.000366764,2.43830557486276e-312,NESS,0.099028459,0.648853454,-0.10798911,0.437719923,7,10,FALSE,FALSE
CNAG_07972,1.30E-05,4.18E-05,0,NESS,0.062053311,0.401183832,0.221207227,0.107632841,13,4,FALSE,FALSE
CNAG_07973,0.00091,0.000688506,3.31E-285,NESS,-0.007075657,0.841622659,0.086973137,0.016384962,27,36,FALSE,FALSE
CNAG_07974,0.000409,0.000430667,2.01E-305,NESS,-0.016886585,0.944382909,-0.013178604,0.960769284,59,24,FALSE,FALSE
