sample,strain,name,dataset,run,source,lineage,vni_subdivision
SRS409067,MW-RSA852,Cryptococcus neoformans var. grubii MW-RSA852,Desjardins,,Clinical,VNII,
SRS404442,Bt211,Cryptococcus_neoformans var. grubii_Bt211,Desjardins,SRR799061,Clinical,VNI,VNIc
SRS404443,A5-35-17,Cryptococcus neoformans var. grubii A5-35-17,Desjardins,SRR798290,Environment,VNI,VNIa-5
SRS404444,Bt106,Cryptococcus_neoformans var. grubii_Bt106,Desjardins,SRR797707,Clinical,VNI,VNIc
SRS404447,Bt99,Cryptococcus_neoformans_Bt99,Desjardins,SRR797736,Clinical,VNI,VNIa-4
SRS404448,Bt76,Cryptococcus_neoformans var. grubii_Bt76,Desjardins,,Clinical,VNBII,
SRS404449,Bt213,Cryptococcus_neoformans var. grubii_Bt213,Desjardins,SRR798638,Clinical,VNI,VNIc
SRS404451,Bt42,Cryptococcus_neoformans var. grubii_Bt42,Desjardins,SRR798735,Clinical,VNI,VNIc
SRS404452,MW-RSA2628,Cryptococcus_neoformans var. grubii_MW-RSA2628,Desjardins,SRR798582,Clinical,VNI,VNIb
SRS404454,Bt37,Cryptococcus_neoformans var. grubii_Bt37,Desjardins,SRR797763,Clinical,VNI,VNIc
SRS404456,IUM-96-28-28,Cryptococcus_neoformans var. grubii_IUM 96-28-28,Desjardins,SRR797737,Environment,VNI,VNIb
SRS404457,Bt212,Cryptococcus_neoformans var. grubii_Bt212,Desjardins,SRR797723,Clinical,VNI,VNIa-X
SRS404458,Bt89,Cryptococcus_neoformans var. grubii_Bt89,Desjardins,,Clinical,VNBII,
SRS404460,Bt43,Cryptococcus_neoformans_Bt43,Desjardins,SRR797740,Clinical,VNI,VNIc
SRS404461,Bt54,Cryptococcus_neoformans var. grubii_Bt54,Desjardins,,Clinical,VNBII,
SRS404462,A1-35-8,Cryptococcus neoformans var. grubii A1-35-8,Desjardins,SRR798691,Environment,VNI,VNIb
SRS404463,Bt55,Cryptococcus_neoformans var. grubii_Bt55,Desjardins,,Clinical,VNBII,
SRS404475,LP-RSA3042,Cryptococcus_neoformans var. grubii_LP-RSA3042,Desjardins,SRR797746,Clinical,VNI,VNIc
SRS404466,Jo278-1,Cryptococcus_neoformans var. grubii_Jo278-1,Desjardins,SRR797733,Environment,VNI,VNIa-5
SRS404467,Bt41,Cryptococcus_neoformans var. grubii_Bt41,Desjardins,,Clinical,VNBII,
SRS404468,Bt32,Cryptococcus_neoformans var. grubii_Bt32,Desjardins,,Clinical,VNBII,
SRS404469,Bt60,Cryptococcus_neoformans_Bt60,Desjardins,,Clinical,VNBI,
SRS404470,Bt118,Cryptococcus_neoformans var. grubii_Bt118,Desjardins,SRR797748,Clinical,VNI,VNIc
SRS404472,Bt103,Cryptococcus_neoformans var. grubii_Bt103,Desjardins,,Clinical,VNBII,
SRS404473,Bt10,Cryptococcus_neoformans var. grubii_Bt10,Desjardins,,Clinical,VNBII,
SRS404477,Bt27,Cryptococcus_neoformans var. grubii_Bt27,Desjardins,,Clinical,VNBII,
SRS404479,WM148,Cryptococcus_neoformans var. grubii_WM148,Desjardins,SRR797807,Clinical,VNI,VNIb
SRS404480,Gb159-1,Cryptococcus_neoformans var. grubii_Gb159-1,Desjardins,SRR797784,Environment,VNI,VNIc
SRS404481,Bt139,Cryptococcus_neoformans var. grubii_Bt139,Desjardins,SRR797754,Clinical,VNI,VNIa-5
