sample,run,file1,file2,file_unpaired
SRS404469,SRR799039,SRR799039_1.fastq.gz,SRR799039_2.fastq.gz,
SRS404469,SRR797790,SRR797790_1.fastq.gz,SRR797790_2.fastq.gz,
SRS404469,SRR797802,SRR797802_1.fastq.gz,SRR797802_2.fastq.gz,
SRS404470,SRR799042,SRR799042_1.fastq.gz,SRR799042_2.fastq.gz,
SRS404470,SRR798786,SRR798786_1.fastq.gz,SRR798786_2.fastq.gz,
SRS404470,SRR797748,SRR797748_1.fastq.gz,SRR797748_2.fastq.gz,
SRS404472,SRR797742,SRR797742_1.fastq.gz,SRR797742_2.fastq.gz,
SRS404472,SRR797781,SRR797781_1.fastq.gz,SRR797781_2.fastq.gz,
SRS404472,SRR822488,SRR822488_1.fastq.gz,SRR822488_2.fastq.gz,
SRS404472,SRR822383,SRR822383_1.fastq.gz,SRR822383_2.fastq.gz,
SRS404472,SRR798800,SRR798800_1.fastq.gz,SRR798800_2.fastq.gz,
SRS404472,SRR798740,SRR798740_1.fastq.gz,SRR798740_2.fastq.gz,
SRS404473,SRR797743,SRR797743_1.fastq.gz,SRR797743_2.fastq.gz,
SRS404473,SRR798918,SRR798918_1.fastq.gz,SRR798918_2.fastq.gz,
SRS404473,SRR798701,SRR798701_1.fastq.gz,SRR798701_2.fastq.gz,
SRS404473,SRR798767,SRR798767_1.fastq.gz,SRR798767_2.fastq.gz,
SRS404473,SRR798644,SRR798644_1.fastq.gz,SRR798644_2.fastq.gz,
SRS404473,SRR798190,SRR798190_1.fastq.gz,SRR798190_2.fastq.gz,
SRS404475,SRR798226,SRR798226_1.fastq.gz,SRR798226_2.fastq.gz,
SRS404475,SRR835468,SRR835468_1.fastq.gz,SRR835468_2.fastq.gz,
SRS404475,SRR835469,SRR835469_1.fastq.gz,SRR835469_2.fastq.gz,
SRS404475,SRR798763,SRR798763_1.fastq.gz,SRR798763_2.fastq.gz,
SRS404475,SRR797746,SRR797746_1.fastq.gz,SRR797746_2.fastq.gz,
SRS404475,SRR798985,SRR798985_1.fastq.gz,SRR798985_2.fastq.gz,
SRS404475,SRR798902,SRR798902_1.fastq.gz,SRR798902_2.fastq.gz,
SRS404475,SRR797745,SRR797745_1.fastq.gz,SRR797745_2.fastq.gz,
SRS404477,SRR822497,SRR822497_1.fastq.gz,SRR822497_2.fastq.gz,
SRS404477,SRR797749,SRR797749_1.fastq.gz,SRR797749_2.fastq.gz,
SRS404477,SRR823389,SRR823389_1.fastq.gz,SRR823389_2.fastq.gz,
SRS404477,SRR798730,SRR798730_1.fastq.gz,SRR798730_2.fastq.gz,
SRS404477,SRR822496,SRR822496_1.fastq.gz,SRR822496_2.fastq.gz,
SRS404477,SRR798240,SRR798240_1.fastq.gz,SRR798240_2.fastq.gz,
SRS404479,SRR797751,SRR797751_1.fastq.gz,SRR797751_2.fastq.gz,
SRS404479,SRR798901,SRR798901_1.fastq.gz,SRR798901_2.fastq.gz,
SRS404479,SRR797807,SRR797807_1.fastq.gz,SRR797807_2.fastq.gz,
SRS404480,SRR798831,SRR798831_1.fastq.gz,SRR798831_2.fastq.gz,
SRS404480,SRR799008,SRR799008_1.fastq.gz,SRR799008_2.fastq.gz,
SRS404480,SRR798689,SRR798689_1.fastq.gz,SRR798689_2.fastq.gz,
SRS404480,SRR798883,SRR798883_1.fastq.gz,SRR798883_2.fastq.gz,
SRS404480,SRR797784,SRR797784_1.fastq.gz,SRR797784_2.fastq.gz,
SRS404480,SRR797752,SRR797752_1.fastq.gz,SRR797752_2.fastq.gz,
SRS404480,SRR798687,SRR798687_1.fastq.gz,SRR798687_2.fastq.gz,
SRS404480,SRR798685,SRR798685_1.fastq.gz,SRR798685_2.fastq.gz,
SRS404481,SRR798651,SRR798651_1.fastq.gz,SRR798651_2.fastq.gz,
SRS404481,SRR797754,SRR797754_1.fastq.gz,SRR797754_2.fastq.gz,
SRS404481,SRR797774,SRR797774_1.fastq.gz,SRR797774_2.fastq.gz,
