SAMN01932943	Cryptococcus_neoformans var. grubii_AD5-39a	SRS417603
SAMN01932942	Cryptococcus_neoformans var. grubii_Bt143	SRS417615
SAMN01932941	Cryptococcus_neoformans var. grubii_RTC3	SRS417659
SAMN01932940	Cryptococcus_neoformans var. grubii_Tu422-1	SRS417675
SAMN01932939	Cryptococcus_neoformans var. grubii_AD1-90a	SRS417583
SAMN01932938	Cryptococcus_neoformans var. grubii_RTC5	SRS417662
SAMN01932937	Cryptococcus_neoformans var. grubii_In2632	SRS417642
SAMN01932936	Cryptococcus_neoformans var. grubii_AD5-67a	SRS417599
SAMN01932935	Cryptococcus_neoformans var. grubii_RTC1	SRS417657
SAMN01932934	Cryptococcus_neoformans var. grubii_AD3-55a	SRS417582
SAMN01932933	Cryptococcus_neoformans var. grubii_AD4-76a	SRS417593
SAMN01932932	Cryptococcus_neoformans var. grubii_Bt133	SRS417611
SAMN01932930	Cryptococcus_neoformans var. grubii_Pr284-1	SRS417656
SAMN01932929	Cryptococcus_neoformans var. grubii_AD1-95a	SRS417575
SAMN01932928	Cryptococcus_neoformans var. grubii_AD5-53a	SRS417596
SAMN01932927	Cryptococcus_neoformans var. grubii_Ug2462	SRS417678
SAMN01932926	Cryptococcus_neoformans var. grubii_Bt148	SRS417619
SAMN01932925	Cryptococcus_neoformans var. grubii_Bt4	SRS417637
SAMN01932923	Cryptococcus_neoformans var. grubii_41487	SRS417571
SAMN01932922	Cryptococcus_neoformans var. grubii_Bt138	SRS417614
SAMN01932920	Cryptococcus_neoformans var. grubii_Tu360-1	SRS417665
SAMN01932919	Cryptococcus_neoformans var. grubii_AD2-04a	SRS417576
SAMN01932918	Cryptococcus_neoformans var. grubii_AD4-47a	SRS417590
SAMN01932917	Cryptococcus_neoformans var. grubii_MW-RSA3179	SRS417653
SAMN01932916	Cryptococcus_neoformans var. grubii_Ug2463	SRS417680
SAMN01932915	Cryptococcus_neoformans var. grubii_AD3-83a	SRS417587
